run_year,esc_2_lgr_tot_adults,esc_2_lgr_tot_jacks,esc_2_lgr_tot,esc_2_lgr_nat_adults,esc_2_lgr_hat_adults,esc_2_lgr_nat_jacks,esc_2_lgr_hat_jacks,esc_abv_lgr_hat_adults,esc_abv_lgr_hat_jacks,esc_abv_lgr_nat_adults,esc_abv_lgr_nat_jacks,b4_818_hat_adults,b4_818_nat_adults,tot_esc_abv_lgr_hat_adults,tot_esc_abv_lgr_nat_adult,tot_esc_abv_lgr_tot_adults,tot_esc_abv_lgr_phos_adults,tot_esc_abv_lgr_phos_all,esc_data_sourc,fin_abv_lgr_hosa_adults,fin_abv_lgr_hosa_jacks,fin_abv_lgr_nosa_adults,fin_abv_lgr_nosa_jacks,fin_abv_lgr_tot_adults,fin_abv_lgr_tot_all,fin_abv_lgr_phos_adults,fin_abv_lgr_phos_all
1975,2245,0,2245,2245,0,NA,0,0,0,2245,0,NA,NA,0,2245,2245,0,0,window counts adults only,0,0,2245,0,2245,2245,0,0
1976,1298,0,1298,1298,0,NA,0,0,0,1298,0,NA,NA,0,1298,1298,0,0,window counts adults only,0,0,1298,0,1298,1298,0,0
1977,1924,0,1924,1924,0,NA,0,0,0,1924,0,NA,NA,0,1924,1924,0,0,window counts adults only,0,0,1924,0,1924,1924,0,0
1978,1485,0,1485,1485,0,NA,0,0,0,1485,0,NA,NA,0,1485,1485,0,0,window counts adults only,0,0,1485,0,1485,1485,0,0
1979,1437,0,1437,1437,0,NA,0,0,0,1437,0,NA,NA,0,1437,1437,0,0,window counts adults only,0,0,1437,0,1437,1437,0,0
1980,455,328,783,455,0,NA,328,0,328,455,0,NA,NA,0,455,455,0,0.41890166028097064,NA,0,328,455,0,455,783,0,0.41890166028097064
1981,337,1414,1751,337,0,NA,1414,0,1414,337,0,NA,NA,0,337,337,0,0.8075385494003426,NA,0,1414,337,0,337,1751,0,0.8075385494003426
1982,724,1478,2202,724,0,NA,1478,0,1478,724,0,NA,NA,0,724,724,0,0.6712079927338783,NA,0,1478,724,0,724,2202,0,0.6712079927338783
1983,535,977,1512,100,435,40,937,435,937,100,40,NA,NA,435,100,535,0.8130841121495327,0.9074074074074074,NA,435,937,100,40,535,1512,0.8130841121495327,0.9074074074074074
1984,637,731,1368,400,237,40,691,237,691,400,40,NA,NA,237,400,637,0.37205651491365777,0.6783625730994152,NA,237,691,400,40,637,1368,0.37205651491365777,0.6783625730994152
1985,693,1490,2183,400,293,40,1450,293,1450,400,40,NA,NA,293,400,693,0.4227994227994228,0.798442510306917,NA,293,1450,400,40,693,2183,0.4227994227994228,0.798442510306917
1986,784,1801,2585,400,384,40,1761,384,1761,400,40,NA,NA,384,400,784,0.4897959183673469,0.8297872340425532,NA,384,1761,400,40,784,2585,0.4897959183673469,0.8297872340425532
1987,950,394,1344,200,750,40,354,750,354,200,40,NA,NA,750,200,950,0.7894736842105263,0.8214285714285714,NA,750,354,200,40,950,1344,0.7894736842105263,0.8214285714285714
1988,627,329,956,150,477,40,289,477,289,150,40,NA,NA,477,150,627,0.7607655502392344,0.801255230125523,NA,477,289,150,40,627,956,0.7607655502392344,0.801255230125523
1989,706,276,982,200,506,40,236,506,236,200,40,NA,NA,506,200,706,0.71671388101983,0.7556008146639511,NA,506,236,200,40,706,982,0.71671388101983,0.7556008146639511
1990,385,190,575,78,307,23,167,307,167,78,23,NA,NA,307,78,385,0.7974025974025974,0.8243478260869566,NA,307,167,78,23,385,575,0.7974025974025974,0.8243478260869566
1991,630,397,1027,318,312,40,357,312,357,318,40,NA,NA,312,318,630,0.49523809523809526,0.6514118792599806,NA,312,357,318,40,630,1027,0.49523809523809526,0.6514118792599806
1992,855,102,957,549,306,71,31,306,31,549,71,NA,NA,306,549,855,0.35789473684210527,0.35214211076280044,NA,306,31,549,71,855,957,0.35789473684210527,0.35214211076280044
1993,1170,39,1209,742,428,35,4,428,4,742,35,NA,NA,428,742,1170,0.3658119658119658,0.3573200992555831,NA,428,4,742,35,1170,1209,0.3658119658119658,0.3573200992555831
1994,791,255,1046,406,385,78,177,385,177,406,78,NA,NA,385,406,791,0.48672566371681414,0.5372848948374761,run recon and haul data; subtract haul fish from total abundance at LGR,385,177,406,78,791,1046,0.48672566371681414,0.5372848948374761
1995,1067,308,1375,350,717,29,279,717,279,350,29,NA,NA,717,350,1067,0.6719775070290535,0.7243636363636363,run recon and haul data; subtract haul fish from total abundance at LGR,717,279,350,29,1067,1375,0.6719775070290535,0.7243636363636363
1996,1308,424,1732,639,669,201,223,669,223,639,201,NA,NA,669,639,1308,0.5114678899082569,0.5150115473441108,LaVoy Mendel run recon;,669,223,639,201,1308,1732,0.5114678899082569,0.5150115473441108
1997,1451,504,1955,796,655,25,479,655,479,796,25,NA,NA,655,796,1451,0.4514128187456926,0.5800511508951407,run recon and haul data; subtract haul fish from total abundance at LGR,655,479,796,25,1451,1955,0.4514128187456926,0.5800511508951407
1998,1909,2002,3911,306,1603,321,1681,1603,1681,306,321,NA,NA,1603,306,1909,0.8397066526977475,0.8396829455382255,run recon and haul data; subtract haul fish from total abundance at LGR,1603,1681,306,321,1909,3911,0.8397066526977475,0.8396829455382255
1999,3381,1856,5237,905,2476,817,1039,2476,1039,905,817,NA,NA,2476,905,3381,0.7323277136941734,0.671185793393164,run recon and haul data; subtract haul fish from total abundance at LGR,2476,1039,905,817,3381,5237,0.7323277136941734,0.671185793393164
2000,3694,7130,10824,1148,2546,2240,4890,1516,3257,1148,2240,NA,NA,1516,1148,2664,0.5690690690690691,0.5848547972062247,NJS run recon,1516,3257,1148,2240,2664,8161,0.5690690690690691,0.5848547972062247
2001,8915,8834,17749,5163,3752,518,8316,5344,3824,5163,518,NA,NA,5344,5163,10507,0.5086133054154374,0.6174153141625699,NJS run recon,5344,3824,5163,518,10507,14849,0.5086133054154374,0.6174153141625699
2002,12351,5725,18076,2116,10235,1506,4219,7999,4359,2116,1506,NA,NA,7999,2116,10115,0.7908057340583292,0.7733416770963705,NJS run recon,7999,4359,2116,1506,10115,15980,0.7908057340583292,0.7733416770963705
2003,12645,6555,19200,5390,7255,1445,5110,6329.546337342124,4352.216188607354,5390.296502056928,1431.6160827454278,NA,NA,6329.546337342124,5390.296502056928,11719.842839399053,0.540070922799736,0.61025827195501825,new subtraction method run recon,6248.276337342124,4352.216188607354,5309.306502056928,1431.6160827454278,11557.582839399052,17341.415110751834,0.5406213759543349,0.6112818624229275
2004,18751,3007,21758,7214,11537,785,2222,9521.218363766367,1753.1642481706333,6087.439931366661,620.2302509650308,NA,NA,9521.218363766367,6087.439931366661,15608.658295133027,0.609995951204544,0.6269797303414888,new subtraction method run recon,9308.368363766367,1753.1642481706333,5901.789931366661,620.2302509650308,15210.158295133027,17583.55279426869,0.6119836613893016,0.6290840503827233
2005,11670,2229,13900,5177,6493,911,1318,5339.774790668252,1071.8775021606123,4583.766206020542,884.2144797877944,NA,NA,5339.774790668252,4583.766206020542,9923.540996688793,0.5380916743781262,0.5397180455287426,new subtraction method run recon,5287.664790668252,1071.8775021606123,4531.656206020542,884.2144797877944,9819.320996688795,11775.412978637201,0.538495970592195,0.5400695758498035
2006,7807,6070,13877,4669,3138,1245,4825,2675.8514237043637,3824.588932772432,3980.8031054470525,1227.657036571025,NA,NA,2675.8514237043637,3980.8031054470525,6656.654529151416,0.4019814175403029,0.5551708597500166,new subtraction method run recon,2653.2914237043638,3824.588932772432,3958.2431054470526,1227.657036571025,6611.534529151417,11663.780498494874,0.40131249591233864,0.5553842819069442
2007,11186,7976,19162,3742,7444,675,7301,5537.5484777608035,5526.414843363021,2816.328045064664,613.3398413143242,NA,NA,5537.5484777608035,2816.328045064664,8353.876522825467,0.6628717174153158,0.763367244738256,new subtraction method run recon,5464.748477760803,5526.414843363021,2743.5280450646637,613.3398413143242,8208.276522825467,14348.031207502812,0.6657607675088069,0.7660398254065945
2008,16200,9307.293161899332,25507.29316189933,3930,12271,659,8648.293161899332,8924.784147929826,7058.502711293798,2995.2505866522847,647.2695883957822,NA,NA,8924.784147929826,2995.2505866522847,11920.03473458211,0.7487213205878891,0.8144015087538926,new subtraction method run recon,8658.584147929827,7023.502711293798,2826.5305866522845,647.2695883957822,11485.114734582112,19155.88703427169,0.7538961819735683,0.8186562611883694
2009,25262,27260,52522,4977,20285,740,26521,16411.404152103365,22288.98004935719,4273.106780950591,718.322106111961,98.20674879485807,159.79325120514193,16509.610900898224,4432.900032155733,20942.510933053956,0.7883300600235474,0.8827930820116988,new subtraction method run recon,16220.51432521584,21577.436625039572,4242.820032155733,718.322106111961,20463.334357371572,42759.09308852311,0.7926623316582164,0.8839745705551622
2010,45335,7303,52638,7995,37340,533,6770,32416.31741097986,5998.576180432904,7347.253172419603,532.9101203138268,289.2911980003571,470.7088019996429,32705.608608980216,7817.961974419246,40523.57058339946,0.8070761815440349,0.822529763054082,new subtraction method run recon,31161.158608980215,5568.776180432904,7793.211974419246,532.9101203138268,38954.37058339946,45056.056884146194,0.7999399847127718,0.8152052649404663
2011,27714,15437,43151,8778,18936,4154,11283,15508.484932484012,10022.240602292066,8071.863515753429,4152.975076768499,434.31744331369407,706.6825566863059,15942.802375797706,8778.546072439734,24721.34844823744,0.6449001926079959,0.6675407856877322,new subtraction method run recon,14947.781233427713,9212.49507799539,8624.099405773068,4152.975076768499,23571.880639200783,36937.35079396467,0.634136132887466,0.6540879568269076
2012,36338,18927,55265,12788,23550,3662,15265,19062.055962553724,13175.090514974318,11303.372256043574,3656.5390997180098,325.45259775040176,529.5474022495982,19387.508560304126,11832.919658293173,31220.4282185973,0.6209879129318101,0.6776525406726628,new subtraction method run recon,18125.294062487534,12057.625012790912,11779.599658293173,3656.5390997180098,29904.893720780707,45619.057833289626,0.6060979260358444,0.6616296019435334
2013,55613,20222,75835,20829,34784,6337,13885,31064.06494915519,12585.259415847737,20131.78058275131,6334.803773455672,190.70380289234066,310.29619710765934,31254.76875204753,20442.07677985897,51696.845531906496,0.6045778698964828,0.6208148864314113,new subtraction method run recon,27466.434225849094,10911.283942046175,20031.60677985897,6334.803773455672,47498.04100570806,64744.12872120991,0.5782645693229396,0.5927598212519135
2014,59674,14016,73690,13032,46642,3939,10077,38418.08076685383,9181.764369991877,11902.166168888727,3905.78655946582,403.1044456347081,655.8955543652919,38821.18521248854,12558.061723254019,51379.24693574256,0.7555810473641282,0.7446150758543079,new subtraction method run recon,37003.35572570782,8433.073856772593,12416.141723254019,3905.78655946582,49419.49744896184,61758.357865200254,0.7487602593272659,0.7357130460245453
