species_run,species,run,origin,CBP_goals,target,goal_label,source
Coho Salmon,Coho salmon,NA,Hatchery,High,4400,NA,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, high goal column"
Coho Salmon,Coho salmon,NA,Hatchery,Low,2147,NA,Quasi-Extinction Threshold (QET) of 50 times number of populations upstream of Lower Granite Dam.  U.S. vs Oregon Production Advisory Committee Broodstock Needs Table
Coho Salmon,Coho salmon,NA,Total,High,48500,NA,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, high goal column"
Coho Salmon,Coho salmon,NA,Wild/natural,Critical,250,NA,Quasi-Extinction Threshold (QET) of 50 times number of populations upstream of Lower Granite Dam.  U.S. vs Oregon Production Advisory Committee Broodstock Needs Table
Coho Salmon,Coho salmon,NA,Wild/natural,High,44100,NA,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, high goal column"
Coho Salmon,Coho salmon,NA,Wild/natural,Low,NA,NA,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, low goal column"
Coho Salmon,Coho salmon,NA,Wild/natural,Medium,NA,NA,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, low goal column"
Fall Chinook Salmon,Chinook salmon,Fall,Hatchery,High,24800,NA,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, high goal column"
Fall Chinook Salmon,Chinook salmon,Fall,Hatchery,Low,3614,NA,Quasi-Extinction Threshold (QET) of 50 times number of populations upstream of Lower Granite Dam.  U.S. vs Oregon Production Advisory Committee Broodstock Needs Table
Fall Chinook Salmon,Chinook salmon,Fall,Total,High,43000,NA,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, high goal column"
Fall Chinook Salmon,Chinook salmon,Fall,Wild/natural,Critical,50,NA,Quasi-Extinction Threshold (QET) of 50 times number of populations upstream of Lower Granite Dam.  U.S. vs Oregon Production Advisory Committee Broodstock Needs Table
Fall Chinook Salmon,Chinook salmon,Fall,Wild/natural,High,18200,NA,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, high goal column"
Fall Chinook Salmon,Chinook salmon,Fall,Wild/natural,Low,5300,NA,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, low goal column"
Fall Chinook Salmon,Chinook salmon,Fall,Wild/natural,Medium,11700,NA,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, low goal column"
Sockeye Salmon,Sockeye salmon,NA,Hatchery,High,10000,NA,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, high goal column"
Sockeye Salmon,Sockeye salmon,NA,Hatchery,Low,1183,NA,Quasi-Extinction Threshold (QET) of 50 times number of populations upstream of Lower Granite Dam.  U.S. vs Oregon Production Advisory Committee Broodstock Needs Table
Sockeye Salmon,Sockeye salmon,NA,Total,High,54600,NA,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, high goal column"
Sockeye Salmon,Sockeye salmon,NA,Wild/natural,Critical,450,NA,Quasi-Extinction Threshold (QET) of 50 times number of populations upstream of Lower Granite Dam.  U.S. vs Oregon Production Advisory Committee Broodstock Needs Table
Sockeye Salmon,Sockeye salmon,NA,Wild/natural,High,54600,NA,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, high goal column"
Sockeye Salmon,Sockeye salmon,NA,Wild/natural,Low,11500,NA,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, low goal column"
Sockeye Salmon,Sockeye salmon,NA,Wild/natural,Medium,33100,NA,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, low goal column"
Spring/Summer Chinook Salmon,Chinook salmon,Spring/summer,Hatchery,High,90000,Mitigation Index,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, high goal column"
Spring/Summer Chinook Salmon,Chinook salmon,Spring/summer,Hatchery,Low,11638,Broodstock Requirement,Quasi-Extinction Threshold (QET) of 50 times number of populations upstream of Lower Granite Dam.  U.S. vs Oregon Production Advisory Committee Broodstock Needs Table
Spring/Summer Chinook Salmon,Chinook salmon,Spring/summer,Total,High,325000,Broad Sense Recovery,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, high goal column"
