species,mpg,pop,spawningyear,abundance,modeled
Chinook salmon,Dry Clearwater,Upper South Fork Clearwater,2012,1120,997
Chinook salmon,Dry Clearwater,Upper South Fork Clearwater,2013,609,645
Chinook salmon,Dry Clearwater,Upper South Fork Clearwater,2014,768,845
Chinook salmon,Dry Clearwater,Upper South Fork Clearwater,2015,656,552
Chinook salmon,Dry Clearwater,Upper South Fork Clearwater,2016,368,379
Chinook salmon,Dry Clearwater,Upper South Fork Clearwater,2017,75,103
Chinook salmon,Dry Clearwater,Upper South Fork Clearwater,2018,144,148
Chinook salmon,Dry Clearwater,Upper South Fork Clearwater,2019,148,121
Chinook salmon,Dry Clearwater,Upper South Fork Clearwater,2021,152,174
Chinook salmon,Dry Clearwater,Upper South Fork Clearwater,2022,514,414
Chinook salmon,Dry Clearwater,Upper South Fork Clearwater,2023,178,171
Chinook salmon,Dry Clearwater,Upper South Fork Clearwater,2024,159,182
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2011,340,136
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2012,121,98
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2013,83,70
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2014,113,119
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2015,70,83
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2016,63,81
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2017,34,26
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2018,18,25
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2019,9,21
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2021,49,31
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2022,30,53
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2023,25,28
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2024,43,44
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2010,463,298
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2011,615,386
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2012,328,278
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2013,275,198
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2014,570,336
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2015,256,234
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2016,190,229
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2017,39,74
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2018,31,71
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2019,55,58
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2020,160,112
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2021,111,88
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2022,137,151
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2023,59,80
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2024,145,124
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2015,430,334
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2016,344,326
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,2017,93,106
