species,mpg,pop,method,spawningyear,abundance,modeled
Chinook salmon,Dry Clearwater,South Fork Clearwater River Upper Mainstem,2,2012,1120,892
Chinook salmon,Dry Clearwater,South Fork Clearwater River Upper Mainstem,2,2013,609,645
Chinook salmon,Dry Clearwater,South Fork Clearwater River Upper Mainstem,2,2014,768,859
Chinook salmon,Dry Clearwater,South Fork Clearwater River Upper Mainstem,2,2015,656,538
Chinook salmon,Dry Clearwater,South Fork Clearwater River Upper Mainstem,2,2016,368,406
Chinook salmon,Dry Clearwater,South Fork Clearwater River Upper Mainstem,2,2017,75,110
Chinook salmon,Dry Clearwater,South Fork Clearwater River Upper Mainstem,2,2018,144,155
Chinook salmon,Dry Clearwater,South Fork Clearwater River Upper Mainstem,2,2019,148,113
Chinook salmon,Dry Clearwater,South Fork Clearwater River Upper Mainstem,2,2021,152,175
Chinook salmon,Dry Clearwater,South Fork Clearwater River Upper Mainstem,2,2022,514,400
Chinook salmon,Dry Clearwater,South Fork Clearwater River Upper Mainstem,2,2023,178,174
Chinook salmon,Dry Clearwater,South Fork Clearwater River Upper Mainstem,2,2024,158,201
Chinook salmon,Dry Clearwater,South Fork Clearwater River Upper Mainstem,2,2025,270,248
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2,2011,340,120
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2,2012,121,95
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2,2013,83,70
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2,2014,113,115
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2,2015,70,79
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2,2016,63,82
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2,2017,34,27
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2,2018,18,29
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2,2019,9,21
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2,2021,49,30
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2,2022,30,54
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2,2023,25,30
Chinook salmon,Grande Ronde / Imnaha,Big Sheep Creek,2,2024,42,45
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,1,2011,615,350
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,1,2012,328,276
Chinook salmon,Grande Ronde / Imnaha,Catherine Creek,1,2013,275,203
