species,mpg,pop,method,spawningyear,abundance,modeled
Steelhead,Clearwater River,Clearwater River Lower Mainstem,1,2011,3421,3588
Steelhead,Clearwater River,Clearwater River Lower Mainstem,1,2012,3613,2822
Steelhead,Clearwater River,Clearwater River Lower Mainstem,1,2013,2187,1810
Steelhead,Clearwater River,Clearwater River Lower Mainstem,1,2014,2627,2010
Steelhead,Clearwater River,Clearwater River Lower Mainstem,1,2015,4287,3195
Steelhead,Clearwater River,Clearwater River Lower Mainstem,1,2016,3598,2230
Steelhead,Clearwater River,Clearwater River Lower Mainstem,1,2017,1084,890
Steelhead,Clearwater River,Clearwater River Lower Mainstem,1,2018,632,571
Steelhead,Clearwater River,Clearwater River Lower Mainstem,1,2019,443,592
Steelhead,Clearwater River,Clearwater River Lower Mainstem,1,2020,476,549
Steelhead,Clearwater River,Clearwater River Lower Mainstem,1,2021,1138,949
Steelhead,Clearwater River,Clearwater River Lower Mainstem,1,2022,343,531
Steelhead,Clearwater River,Clearwater River Lower Mainstem,1,2023,282,754
Steelhead,Clearwater River,Clearwater River Lower Mainstem,1,2024,661,800
Steelhead,Clearwater River,Clearwater River Lower Mainstem,1,2025,1288,1144
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2,2011,1908,4674
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2,2012,3651,3676
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2,2013,1851,2358
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2,2014,3034,2618
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2,2015,2765,4162
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2,2016,2653,2905
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2,2017,1557,1159
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2,2018,1526,744
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2,2019,1161,771
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2,2020,1499,715
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2,2021,1237,1236
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2,2022,373,692
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2,2023,787,983
