species,mpg,pop,spawningyear,abundance,modeled
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2010,751,806
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2011,207,701
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2012,119,636
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2013,678,406
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2014,726,423
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2015,995,720
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2016,808,504
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2017,254,215
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2018,273,140
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2019,190,139
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2020,245,130
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2021,227,223
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2022,34,138
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2023,202,192
Steelhead,Clearwater River,Clearwater River Lower Mainstem,2024,354,199
Steelhead,Clearwater River,Lochsa River,2017,1263,609
Steelhead,Clearwater River,Lochsa River,2018,346,397
Steelhead,Clearwater River,Lochsa River,2019,397,393
Steelhead,Clearwater River,Lochsa River,2020,154,366
Steelhead,Clearwater River,Lochsa River,2021,691,631
Steelhead,Clearwater River,Lochsa River,2022,480,390
Steelhead,Clearwater River,Lochsa River,2023,803,543
Steelhead,Clearwater River,Lochsa River,2024,357,562
Steelhead,Clearwater River,Lolo Creek,2012,657,538
Steelhead,Clearwater River,Lolo Creek,2013,336,344
Steelhead,Clearwater River,Lolo Creek,2014,284,358
Steelhead,Clearwater River,Lolo Creek,2015,645,610
Steelhead,Clearwater River,Lolo Creek,2016,364,427
Steelhead,Clearwater River,Lolo Creek,2017,125,182
Steelhead,Clearwater River,Lolo Creek,2018,136,119
Steelhead,Clearwater River,Lolo Creek,2019,181,118
Steelhead,Clearwater River,Lolo Creek,2020,65,110
Steelhead,Clearwater River,Lolo Creek,2021,343,189
Steelhead,Clearwater River,Lolo Creek,2022,99,117
Steelhead,Clearwater River,Lolo Creek,2023,187,163
Steelhead,Clearwater River,Lolo Creek,2024,146,168
Steelhead,Clearwater River,Selway River,2017,621,525
Steelhead,Clearwater River,Selway River,2018,305,342
Steelhead,Clearwater River,Selway River,2019,264,338
Steelhead,Clearwater River,Selway River,2020,158,316
Steelhead,Clearwater River,Selway River,2021,907,544
Steelhead,Clearwater River,Selway River,2022,511,336
Steelhead,Clearwater River,Selway River,2023,756,468
Steelhead,Clearwater River,Selway River,2024,279,484
Steelhead,Clearwater River,South Fork Clearwater River,2012,1232,920
Steelhead,Clearwater River,South Fork Clearwater River,2013,732,588
Steelhead,Clearwater River,South Fork Clearwater River,2014,567,611
Steelhead,Clearwater River,South Fork Clearwater River,2015,1075,1042
Steelhead,Clearwater River,South Fork Clearwater River,2016,900,729
Steelhead,Clearwater River,South Fork Clearwater River,2017,485,312
Steelhead,Clearwater River,South Fork Clearwater River,2018,128,203
Steelhead,Clearwater River,South Fork Clearwater River,2019,143,201
Steelhead,Clearwater River,South Fork Clearwater River,2020,113,187
Steelhead,Clearwater River,South Fork Clearwater River,2021,353,323
Steelhead,Clearwater River,South Fork Clearwater River,2022,238,199
Steelhead,Clearwater River,South Fork Clearwater River,2023,275,278
Steelhead,Clearwater River,South Fork Clearwater River,2024,257,287
Steelhead,Grande Ronde River,Grande Ronde River Lower Mainstem,2019,428,323
