spawnyear,Wild_Large,Hatchery_Large
1962,24595,NA
1963,11068,NA
1964,9100,NA
1965,8200,NA
1966,12800,NA
1967,14000,NA
1968,19500,NA
1969,6200,NA
1970,4500,NA
1971,4700,NA
1972,1800,NA
1973,2400,NA
1974,900,NA
1975,2245,0
1976,1298,0
1977,1924,0
1978,1485,0
1979,1437,0
1980,455,0
1981,337,0
1982,724,0
1983,100,435
1984,400,237
1985,400,293
1986,400,384
1987,200,750
1988,150,477
1989,200,506
1990,78,307
1991,318,312
1992,549,306
1993,742,428
1994,406,385
1995,350,717
1996,639,669
1997,796,655
1998,306,1603
1999,905,2476
2000,1148,2546
2001,5163,3752
2002,2116,10235
2003,3856,10107
2004,7214,11537
2005,5177,6493
2006,4669,3138
2007,3742,7444
2008,3930,12271
2009,4977,20285
2010,7995,37340
2011,8778,18936
2012,12788,23550
2013,20829,34784
2014,13032,46642
2015,15773,42557
2016,9741,24676
2017,6930,17853
2018,6140,9932
2019,6558,9950
2020,8068,19270
2021,7089,24606
2022,6222,32879
2023,7516,36447
2024,6743,27726
2025,NA,NA
